epoch,train_loss,val_accuracy
1,2.4913766109026394,0.4264232008592911
2,1.7223714702149742,0.5585392051557465
3,1.5412503547138638,0.5166487647690655
4,1.3862518005900912,0.4908700322234157
5,1.2620158057946425,0.6981740064446831
6,1.281503116982615,0.4103114930182599
7,1.1997736875827496,0.664876476906552
8,1.1036721911185827,0.682062298603652
9,1.0880989727810917,0.6723952738990333
10,1.030256179662851,0.6058002148227712
11,1.0032665663295322,0.7132116004296455
12,1.001417303441936,0.5972073039742213
13,0.957772936576452,0.5703544575725027
14,0.899582786947234,0.7873254564983888
15,0.9253679442609477,0.6799140708915145
16,0.8394795752998091,0.7561761546723953
17,0.8693792616200243,0.8345864661654135
18,0.8287408568410792,0.7497314715359829
19,0.8214963916529957,0.6251342642320086
20,0.782935225046598,0.5209452201933404
21,0.8355729641058506,0.80343716433942
22,0.7424588532019885,0.8302900107411385
23,0.7344452413993005,0.7798066595059077
24,0.7192635737423204,0.7690655209452202
25,0.7185483582508869,0.7873254564983888
26,0.7231684318210325,0.8066595059076263
27,0.6974932362890651,0.5972073039742213
28,0.7065818080535302,0.7647690655209453
29,0.6656198623852853,0.8270676691729323
30,0.6616638455635462,0.80343716433942
31,0.5967505021482451,0.8453276047261009
32,0.6366877515091856,0.6562835660580022
33,0.6507087207248068,0.80343716433942
34,0.5998907045930879,0.7701396348012889
35,0.6054224906823574,0.7916219119226638
36,0.6032539729633902,0.8367346938775511
37,0.5797232996958953,0.8163265306122449
38,0.5799999332580811,0.6219119226638024
39,0.5684249729682238,0.7959183673469388
40,0.5402650857328349,0.8582169709989259
41,0.5384561413118982,0.8635875402792696
42,0.5368105094147544,0.8367346938775511
43,0.5479493313110791,0.60687432867884
44,0.5538874292730266,0.8506981740064447
45,0.5306709420222503,0.7894736842105263
46,0.491268144076706,0.8517722878625135
47,0.476324340981296,0.8045112781954887
48,0.4957919660796467,0.8528464017185822
49,0.49566175744064855,0.7046186895810956
50,0.5297224526731377,0.8517722878625135
51,0.5242592817188328,0.8023630504833512
52,0.493466559638325,0.849624060150376
53,0.49585390167358595,0.761546723952739
54,0.47039245336483687,0.8453276047261009
55,0.456540578068831,0.8249194414607949
56,0.4535008979658795,0.8592910848549946
57,0.424630982371477,0.8421052631578947
58,0.46571030958085996,0.7078410311493019
59,0.44321446591972286,0.8302900107411385
60,0.43730681344994116,0.8754027926960258
61,0.4298844113309159,0.8485499462943072
62,0.44800190703991133,0.6842105263157895
63,0.45253516109580666,0.757250268528464
64,0.4023105242313483,0.8732545649838883
65,0.3934430744912889,0.8227712137486574
66,0.38147453110442203,0.7830290010741139
67,0.3944866659167485,0.8539205155746509
68,0.3975305277058202,0.849624060150376
69,0.38473814458419114,0.8646616541353384
70,0.38825278041454464,0.7701396348012889
71,0.372668158613209,0.8582169709989259
72,0.4059351264921009,0.8120300751879699
73,0.3960834930085728,0.8657357679914071
74,0.3935804958017463,0.8506981740064447
75,0.3992103705039391,0.8764769065520945
76,0.37199208127637196,0.7926960257787325
77,0.4178211722109053,0.8227712137486574
78,0.36022184922909123,0.8292158968850698
79,0.34017855947853154,0.7722878625134264
80,0.3521384936239984,0.8861439312567132
81,0.3502700089389442,0.8603651987110634
82,0.3361194877543001,0.7873254564983888
83,0.3438094022054958,0.8055853920515574
84,0.3408907722586241,0.8378088077336198
85,0.33484547400576437,0.8796992481203008
86,0.3277640542668155,0.8839957035445757
87,0.3067320013084473,0.8603651987110634
88,0.33508652448654175,0.8141783029001074
89,0.30860011158590644,0.8678839957035446
90,0.3184508700401355,0.3426423200859291
91,0.33866066058986205,0.8893662728249194
92,0.32934730888431907,0.8474758324382384
93,0.3159231833922557,0.8872180451127819
94,0.3012275752157737,0.8582169709989259
95,0.3005276482202049,0.728249194414608
96,0.3173519161521879,0.8345864661654135
97,0.30916112654993677,0.799140708915145
98,0.31264543348652685,0.8474758324382384
99,0.32367819391636765,0.8313641245972073
100,0.31050471744985664,0.8936627282491945
101,0.3135807960270307,0.8388829215896885
102,0.3085105081335602,0.882921589688507
103,0.306414339150119,0.8754027926960258
104,0.31082641632638425,0.8302900107411385
105,0.2966180745607767,0.7529538131041891
106,0.293323630387457,0.8528464017185822
107,0.31578444434791547,0.8603651987110634
108,0.30846670518318814,0.8582169709989259
109,0.31488847859904295,0.8131041890440387
110,0.2768095714541582,0.8925886143931256
111,0.31067056253425074,0.8775510204081632
112,0.2862062546241487,0.8850698174006445
113,0.2651467325213628,0.8904403866809882
114,0.27559221252544314,0.8635875402792696
